date,Arabic,French,Japanese,Portuguese,Russian,Simp_Chinese,Spanish,Trad_Chinese,Ukrainian,English,Korean,German,Polish
1/11/2016,0,0,0,0,33,33,99,0,0,66,0,561,0
1/12/2016,0,0,33,0,0,0,66,0,0,264,0,132,0
1/1/2017,0,33,0,33,33,33,198,0,0,363,0,66,0
1/2/2017,0,99,0,66,33,66,462,0,33,330,0,33,66
1/3/2017,0,165,0,231,66,0,330,33,0,660,33,99,33
1/4/2017,0,132,0,297,165,0,528,0,33,1429,0,263,66
1/5/2017,0,33,33,99,66,33,757,0,0,561,33,99,0
1/6/2017,66,33,0,495,99,165,1088,33,0,1086,0,165,99
1/7/2017,0,99,66,791,33,363,1747,33,33,1251,659,198,0
1/8/2017,427,2429,33,2995,395,1200,8697,658,198,9123,723,2329,494
1/9/2017,725,3631,922,4223,1600,3300,16326,495,264,17900,725,3228,626
1/10/2017,2044,5423,1200,6633,2200,2000,21041,821,330,21500,1000,3626,891
1/11/2017,2044,6552,1600,7332,1600,2500,27168,922,923,25100,824,4921,1500
1/12/2017,2178,4789,2500,5522,2800,3400,17356,1300,593,18200,1100,3694,1000
1/1/2018,2338,6723,2700,5754,2700,3100,19471,855,462,24500,988,5159,1200
1/2/2018,2734,6061,2100,5765,3400,1500,23750,626,658,29400,1500,5826,1500
1/3/2018,2243,7986,2900,8331,2800,3500,28235,1100,954,29700,1100,5558,1900
1/4/2018,3098,7658,2200,8498,1900,3800,28437,988,921,29800,1200,4857,1400
1/5/2018,1813,6055,2400,7599,1500,4100,29676,1100,593,24900,1400,4493,1400
1/6/2018,693,5056,2400,6032,825,3200,25114,953,429,20500,887,3627,789
1/7/2018,1154,5648,1900,5451,1000,3200,22418,954,363,20700,1200,3858,692
1/8/2018,1188,4922,1400,7720,1500,2600,24664,985,263,24800,856,3797,528
1/9/2018,1484,6356,2000,9227,1800,2700,32186,854,461,23000,1400,3885,791
1/10/2018,1846,6427,2100,7929,2600,4100,35785,1200,461,29300,1200,3761,888
1/11/2018,2637,6321,2800,8027,1700,4300,34983,1100,527,26300,1200,4557,1200
1/12/2018,1682,6527,2000,5266,1700,3300,22196,1000,363,19288,1800,3359,1100
1/1/2019,1154,6056,2600,6532,1100,3900,26062,984,1000,24900,1600,4392,1200
1/2/2019,1055,6279,2300,7598,2000,2900,35295,791,824,28000,1700,4823,988
1/3/2019,2045,6545,2700,9064,1600,4300,39759,1400,922,29500,2300,5800,1500
1/4/2019,2046,6456,2100,9698,2000,4600,38397,1500,889,32700,1600,5600,1000
1/5/2019,1882,5659,2400,9565,1900,4600,48712,2000,593,27900,1700,6800,1500
1/6/2019,1451,6986,2700,9232,2300,3400,42569,1500,462,25200,1900,5589,1800
1/7/2019,1287,7937,4000,9430,1900,5400,41283,1100,822,27000,2000,6729,1800
1/8/2019,1748,7211,4000,10163,2100,5100,45241,1600,792,27900,1700,6756,2200
1/9/2019,2142,8209,3900,13130,2800,5400,51410,1900,627,32000,1800,5922,1400
1/10/2019,2831,9479,4000,13729,3300,6300,62669,2200,1000,38000,2000,8000,2200
1/11/2019,3327,9814,5500,14364,3800,4200,60726,2400,1500,36900,2000,7791,1900
1/12/2019,2208,8213,5300,10999,3900,5000,30134,3200,1800,11100,2000,8025,1700
1/1/2020,2536,10705,5000,13733,4200,3500,56680,2300,1200,37700,2400,9100,2100
1/2/2020,2930,10241,5700,15261,3800,5300,67759,2000,1900,42900,2000,8200,2000
1/3/2020,2933,10244,5800,16132,2000,3600,53061,987,890,32200,2300,7000,1500
1/4/2020,2175,16642,2500,14732,3000,4100,61551,2000,1600,39600,1600,9824,2800
1/5/2020,3901,15379,2500,16497,3600,3100,82065,2200,1200,47700,1200,10387,2900
1/6/2020,2836,13627,2700,15425,3100,4800,53132,2100,858,43400,1500,9700,2000
1/7/2020,2832,12278,2300,15529,3400,4100,60255,1400,1000,37700,1000,9254,2900
1/8/2020,2341,11201,3900,19897,2700,4800,63378,1400,792,37100,954,10200,3000
1/9/2020,2614,11665,2400,19599,2500,5200,75754,1200,1400,41000,1800,8388,2800
1/10/2020,3984,10947,3100,20565,3500,4700,87804,2500,1700,48200,1900,9900,2300
1/11/2020,2765,13277,4100,22030,3900,4400,76106,2300,1500,37800,1600,10000,3000
1/12/2020,2933,10417,4600,15196,4600,7100,49906,2700,1500,31500,1800,9200,2300
1/1/2021,2933,11354,3900,17862,3300,6000,57812,1600,1800,35400,1600,11200,3300
1/2/2021,4063,11790,5200,17394,3600,4900,52975,1700,1800,39900,1800,7900,2900
1/3/2021,4501,14212,3300,23560,4000,8700,71536,3000,1900,53600,1600,13200,4200
1/4/2021,4589,17782,4800,24262,4400,8900,76700,2100,1600,51100,2800,11733,3900
1/5/2021,3992,16376,4000,24589,3000,7900,68709,2500,1500,55600,2600,16400,6000
1/6/2021,3080,16795,4600,23692,3300,6500,76250,4100,1600,50700,2200,14100,3200
1/7/2021,2904,15093,4600,21721,3200,7400,74082,3900,1700,44900,2200,12400,3300
1/8/2021,3063,14201,5000,23622,3500,8500,77703,3800,1300,46000,1900,12700,2700
1/9/2021,1945,10910,4600,19729,2800,7200,54033,2900,1300,37100,2000,9800,2800
1/10/2021,1781,10611,4100,18599,4800,7500,73527,3100,890,37700,2200,9954,2300
1/11/2021,2669,11781,4800,18162,4500,10900,71689,2500,1300,38200,1600,10500,3000
1/12/2021,2243,7853,4700,12698,4100,9200,47385,2100,1300,30300,1500,7900,3600
1/1/2022,2474,9085,4300,13866,4400,9000,47955,1200,1200,36400,1500,10600,3100
1/2/2022,2407,9244,3700,12932,3500,7500,58650,1500,1300,36600,1300,9000,1700
1/3/2022,3197,9289,2900,14665,3600,11900,67872,1500,561,40200,2100,10733,2100
1/4/2022,2627,9384,4600,15099,3600,12400,55106,2900,857,40100,1400,8154,2000
1/5/2022,2375,9721,4800,18362,3900,11200,65455,3000,1300,42900,1300,11600,2000
1/6/2022,1814,9886,4300,16065,3300,9900,57508,2300,989,39400,1600,11100,1800
1/7/2022,1152,9251,3500,15331,3600,10100,48959,2200,1200,37400,1200,9400,1900
1/8/2022,1692,7117,3600,15798,3900,9900,55960,1400,1500,40800,1300,10900,1800
1/9/2022,2078,7857,3500,16731,3900,11900,66395,2000,2100,42200,2000,9600,1900
1/10/2022,2142,7789,3600,17797,4100,14600,72270,2400,1100,41900,2400,9700,2600
1/11/2022,1555,4928,2243,7682,2618,4202,28254,952,674,18817,918,4900,1000
1/12/2022,5614,15830,8041,22026,8793,12726,71730,3540,2583,60952,2862,15600,2500
1/1/2023,4929,18663,7932,23087,8191,10734,75652,3019,2337,71586,3034,18400,4200
1/2/2023,4979,17426,7325,22424,8494,14660,87127,3065,2396,74718,2978,21000,3000
1/3/2023,6586,23963,7689,30403,10481,18376,114456,4124,3323,90290,3723,22700,4600
1/4/2023,6951,24300,8899,29185,10018,16958,107166,4068,3378,87915,3706,21800,3600
1/5/2023,10113,32397,10777,36295,10606,16519,144034,4825,4186,108682,4423,31700,5600
1/6/2023,6641,35904,10891,32912,10365,13667,114323,4110,4219,116649,3909,31300,6500
1/7/2023,5887,36470,10677,32586,10988,14959,106688,3912,4779,113269,4114,30800,7000
1/8/2023,6316,37714,10522,36228,10817,15213,119166,4405,4953,132499,4264,31400,5900
1/9/2023,6117,35327,9988,36382,11611,16011,129310,4377,4651,104540,3978,30800,4400
1/10/2023,9123,39073,11112,42942,14431,16687,146454,4708,5236,112609,4226,29100,6200
1/11/2023,9645,33605,10627,46535,14366,17697,146202,5032,5617,101050,4537,26400,6900
1/12/2023,7769,23988,8981,31898,11161,17970,89565,4726,3740,71659,3264,16400,5200
1/1/2024,7513,25958,9067,36922,10421,38022,99732,4038,3737,80151,3602,21200,5300
1/2/2024,8433,29528,8359,38000,11659,48515,119042,3747,3880,91063,3211,21800,5700
1/3/2024,8564,40098,8385,40158,13431,86104,125923,4916,4926,102532,3879,29300,4600
1/4/2024,8418,45469,9522,36861,14826,89140,135505,4881,5709,111928,4090,32100,7700
1/5/2024,11146,53231,10326,36240,15712,108876,155776,5370,6147,141464,4535,43900,7400
1/6/2024,9349,49525,10309,38868,16795,103497,146153,4913,6866,156857,4576,39300,8300
1/7/2024,8941,51102,12188,42596,17655,85592,141512,5184,6967,163347,5093,42100,11300
1/8/2024,9884,54347,11680,47371,17008,37893,157718,5375,7357,155816,5283,46000,9900
1/9/2024,10666,50473,12644,48519,17000,33933,179231,6074,7704,162680,5221,40600,11800
1/10/2024,12466,54750,13765,55946,17759,42471,203672,6597,9724,150600,5848,40200,11500
1/11/2024,14324,44424,13880,61141,17270,42875,199978,8182,7562,138233,6006,35000,9600
1/12/2024,12702,34150,13834,53057,15917,33155,145095,8909,5763,118238,4937,26400,7600