date,Benin_/search,Benin_/fr/search,DRCongo_/search,DRCongo_/fr/search,France_/search,total_/search,France_/fr/search,Gabon_/search,Gabon_/fr/search,Coted'Ivoire_/search,Coted'Ivoire_/fr/search,Senegal_/search,Senegal_/fr/search,Togo_/search,Togo_/fr/search,total_/fr/search,Proportion
1/11/2022,0,0,0,0,167,167,367,0,0,0,0,0,0,0,0,367,0.687265918
1/12/2022,33,67,33,0,1200,1333,967,0,33,100,167,0,67,67,0,1401,0.512435991
1/1/2023,133,100,0,0,1400,1633,1033,33,0,67,33,0,0,100,33,1299,0.443042292
1/2/2023,67,67,0,0,1133,1267,1033,0,33,100,0,33,0,33,33,1265,0.499605055
1/3/2023,0,33,0,0,1433,1466,1233,33,0,133,0,0,0,33,0,1432,0.494133885
1/4/2023,0,67,0,0,1933,2000,1067,33,0,0,67,0,33,0,0,1200,0.375
1/5/2023,67,0,0,33,1833,1933,1167,0,0,33,33,0,33,0,0,1266,0.395748671
1/6/2023,33,67,0,0,1200,1300,800,67,100,0,33,33,0,0,0,1033,0.44277754
1/7/2023,0,33,0,33,1267,1333,1300,33,33,0,33,0,0,33,33,1465,0.523588277
1/8/2023,0,0,33,33,1433,1499,1000,0,33,67,133,0,33,0,0,1266,0.457866184
1/9/2023,67,33,0,33,1800,1933,1667,33,33,0,33,33,67,0,0,1866,0.49118189
1/10/2023,133,100,67,0,1533,1833,1767,0,0,100,233,0,0,0,0,2100,0.533943555
1/11/2023,100,33,0,0,1633,1766,1300,0,33,0,67,33,0,0,0,1433,0.447952485
1/12/2023,0,33,0,67,1533,1633,1033,67,33,33,0,0,0,100,0,1266,0.436702311
1/1/2024,100,0,33,0,1767,1900,1633,0,33,33,67,0,0,67,67,1900,0.5
1/2/2024,67,33,0,0,2033,2133,1867,33,33,100,0,33,0,33,0,2099,0.495982987
1/3/2024,100,67,33,33,1833,2066,1533,100,100,200,67,100,33,0,0,2133,0.50797809
1/4/2024,33,67,0,33,1633,1766,1700,0,33,67,0,0,0,0,33,1833,0.509308141
1/5/2024,0,0,0,0,1800,1800,1567,0,0,33,0,0,33,0,0,1633,0.47567725
1/6/2024,33,133,0,0,1767,1933,1200,0,33,0,33,0,0,33,0,1299,0.401918317
1/7/2024,167,100,0,0,1333,1600,967,0,0,67,133,0,33,0,0,1200,0.428571429
1/8/2024,33,67,67,67,1533,1767,967,0,0,167,33,133,33,67,67,1467,0.453617811
1/9/2024,67,100,33,67,1833,2100,1833,0,0,0,100,0,33,33,33,2032,0.491771539
1/10/2024,33,167,0,67,2300,2567,1433,0,0,100,33,0,67,33,33,1699,0.398265354
1/11/2024,0,67,0,0,2200,2267,1633,33,0,0,100,0,0,33,0,1799,0.442449582
1/12/2024,33,33,0,0,1867,1933,1667,0,0,167,100,67,0,0,67,2068,0.516870782
1/1/2025,33,67,0,33,2267,2400,1533,0,0,100,33,33,33,0,0,1732,0.419167473
1/2/2025,0,67,0,67,2433,2567,1800,0,0,133,67,33,0,0,0,2033,0.441956522
1/3/2025,33,33,33,33,2167,2299,1700,0,0,100,167,0,0,0,0,1967,0.46108767
1/4/2025,133,33,33,0,2067,2266,1633,0,0,67,100,0,33,0,0,1833,0.44718224
,,,,,,,,,,,,,,,,,0.471101641