date,Brazil_/search,Angola_/search,Mozambique_/search,Portugal_/search,Guinea-Bissau_/search,Cabo Verde_/search,São Tomé and Príncipe_/search,/search_total,Brazil_/pt/search,Angola_/pt/search,Mozambique_/pt/search,Portugal_/pt/search,Guinea-Bissau_/pt/search,Cabo Verde_/pt/search,São Tomé and Príncipe_/pt/search,/pt/search_total,Proportion
1/11/2022,500,0,0,100,NA,0,0,600,233,0,33,67,NA,0,0,333,0.356913183
1/12/2022,1900,0,0,233,NA,0,0,2133,667,0,0,67,NA,0,0,734,0.256016742
1/1/2023,2033,0,0,400,NA,0,33,2466,567,0,67,100,NA,0,0,734,0.229375
1/2/2023,2267,0,0,567,NA,0,0,2834,500,33,0,33,NA,0,0,566,0.166470588
1/3/2023,3067,33,0,1067,NA,0,0,4167,1033,0,0,67,NA,33,0,1133,0.213773585
1/4/2023,2867,0,0,967,NA,0,0,3834,567,0,0,67,NA,0,0,634,0.141897941
1/5/2023,3267,0,67,1000,NA,0,33,4367,700,0,67,133,NA,0,33,933,0.176037736
1/6/2023,2967,33,100,667,NA,0,0,3767,867,0,0,133,NA,0,0,1000,0.20977554
1/7/2023,3100,0,0,400,NA,33,0,3533,933,0,33,100,NA,33,0,1099,0.237262522
1/8/2023,3033,0,67,533,NA,0,33,3666,1067,0,0,67,NA,0,0,1134,0.23625
1/9/2023,3033,0,33,467,NA,66,67,3666,833,0,67,33,NA,0,0,933,0.202870189
1/10/2023,4100,0,100,800,NA,0,0,5000,1133,33,0,133,NA,0,0,1299,0.20622321
1/11/2023,3600,0,0,767,NA,100,0,4467,900,0,33,0,NA,0,0,933,0.172777778
1/12/2023,2867,0,0,967,NA,0,0,3834,667,67,0,0,NA,0,0,734,0.160683012
1/1/2024,3200,0,0,433,NA,0,0,3633,967,0,0,100,NA,0,0,1067,0.227021277
1/2/2024,2300,0,0,933,NA,33,0,3266,1000,0,33,67,NA,33,0,1133,0.257558536
1/3/2024,3300,33,33,1067,NA,0,0,4433,933,0,0,100,NA,0,0,1033,0.188986462
1/4/2024,4267,0,0,1133,NA,0,0,5400,900,0,33,167,NA,0,0,1100,0.169230769
1/5/2024,3167,0,100,967,NA,0,0,4234,800,0,133,167,NA,33,0,1133,0.2111049
1/6/2024,3333,33,67,700,NA,0,0,4133,567,100,33,0,NA,0,0,700,0.144837575
1/7/2024,3133,33,33,700,NA,0,0,3899,1300,67,33,100,NA,0,0,1500,0.277829228
1/8/2024,4567,67,167,700,NA,0,0,5501,1133,33,33,67,NA,0,0,1266,0.18708438
1/9/2024,3533,0,167,900,NA,0,0,4600,767,33,0,133,NA,0,0,933,0.168624616
1/10/2024,4000,33,100,1000,NA,0,0,5133,1133,0,0,167,NA,0,0,1300,0.202083009
1/11/2024,3733,67,0,1300,NA,0,0,5100,1600,0,0,300,NA,33,0,1933,0.274847149
1/12/2024,2967,33,0,600,NA,0,0,3600,900,0,0,233,NA,33,0,1166,0.244649601
1/1/2025,3500,0,0,900,NA,67,0,4467,900,33,33,33,NA,0,0,999,0.182766191
1/2/2025,3933,0,67,1233,NA,67,0,5300,933,67,0,167,NA,0,0,1167,0.180454616
1/3/2025,4333,167,33,1333,NA,0,0,5866,800,33,33,233,NA,0,0,1099,0.157788945
1/4/2025,5100,0,133,800,NA,33,0,6066,1300,0,33,100,NA,0,0,1433,0.191092146
,,,,,,,,,,,,,,,,,0.207742881