date,China_/search,China_/zh/search,Proportion
1/11/2022,933,133,0.124765478
1/12/2022,2367,600,0.202224469
1/1/2023,2533,733,0.224433558
1/2/2023,3533,900,0.203022784
1/3/2023,4500,1200,0.210526316
1/4/2023,3800,767,0.167943946
1/5/2023,3800,967,0.202852947
1/6/2023,3233,800,0.198363501
1/7/2023,3600,1367,0.275216428
1/8/2023,4267,1100,0.204956214
1/9/2023,3500,867,0.198534463
1/10/2023,4567,1067,0.189385871
1/11/2023,4667,967,0.171636493
1/12/2023,5233,1100,0.173693352
1/1/2024,4433,1200,0.213030357
1/2/2024,3967,1167,0.227308142
1/3/2024,5933,1267,0.175972222
1/4/2024,5067,2067,0.289739277
1/5/2024,6400,1800,0.219512195
1/6/2024,5000,1233,0.197818065
1/7/2024,4900,1567,0.242307098
1/8/2024,5033,1267,0.201111111
1/9/2024,5067,1800,0.262123198
1/10/2024,6300,2167,0.255934806
1/11/2024,5267,1533,0.225441176
1/12/2024,5300,1333,0.200964873
1/1/2025,4800,1433,0.229905343
1/2/2025,6033,1333,0.180966603
1/3/2025,15300,2267,0.129048785
1/4/2025,58800,2333,0.038162694
,,,0.201230059