date,Taiwan_/search,Taiwan_/zh/search,Total,Proportion
1/11/2022,100,33,133,0.248120301
1/12/2022,333,67,400,0.1675
1/1/2023,67,100,167,0.598802395
1/2/2023,500,300,800,0.375
1/3/2023,433,533,966,0.551759834
1/4/2023,500,367,867,0.423298731
1/5/2023,633,500,1133,0.441306267
1/6/2023,267,233,500,0.466
1/7/2023,533,267,800,0.33375
1/8/2023,267,200,467,0.428265525
1/9/2023,433,433,866,0.5
1/10/2023,667,433,1100,0.393636364
1/11/2023,500,267,767,0.348109518
1/12/2023,400,567,967,0.586349535
1/1/2024,300,200,500,0.4
1/2/2024,300,200,500,0.4
1/3/2024,500,333,833,0.399759904
1/4/2024,567,167,734,0.227520436
1/5/2024,433,233,666,0.34984985
1/6/2024,333,500,833,0.600240096
1/7/2024,500,267,767,0.348109518
1/8/2024,467,233,700,0.332857143
1/9/2024,500,333,833,0.399759904
1/10/2024,533,333,866,0.384526559
1/11/2024,500,233,733,0.31787176
1/12/2024,567,367,934,0.392933619
1/1/2025,600,67,667,0.100449775
1/2/2025,367,233,600,0.388333333
1/3/2025,667,200,867,0.230680507
1/4/2025,467,200,667,0.299850075
,,,,0.381154698