date,/search,/uk/search,Total,Proportion
1/12/2022,400,700,1100,0.636363636
1/1/2023,200,200,400,0.5
1/2/2023,500,0,500,0
1/3/2023,100,500,600,0.833333333
1/4/2023,300,100,400,0.25
1/5/2023,0,200,200,1
1/6/2023,100,100,200,0.5
1/7/2023,200,300,500,0.6
1/8/2023,500,200,700,0.285714286
1/9/2023,200,100,300,0.333333333
1/10/2023,300,100,400,0.25
1/11/2023,400,300,700,0.428571429
1/12/2023,200,100,300,0.333333333
1/1/2024,200,100,300,0.333333333
1/2/2024,200,100,300,0.333333333
1/3/2024,400,100,500,0.2
1/4/2024,400,300,700,0.428571429
1/5/2024,200,200,400,0.5
1/6/2024,200,100,300,0.333333333
1/7/2024,300,100,400,0.25
1/8/2024,0,100,100,1
1/9/2024,0,0,0,
1/10/2024,400,0,400,0
1/11/2024,300,100,400,0.25
1/12/2024,300,300,600,0.5
1/1/2025,200,200,400,0.5
1/2/2025,300,100,400,0.25
1/3/2025,600,200,800,0.25
1/4/2025,100,200,300,0.666666667
,,,,0.41949598